stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN18225;Tonsenhagen;10.82930;59.94670;;;;82.6;91.0;90.8
SN18233;Nyland;10.86400;59.94520;;;;72.3;92.0;78.6
SN18235;Furuset ;10.89720;59.94200;;;;66.4;91.0;73.0
SN18245;Ammerud;10.87370;59.96520;;;;72.9;87.0;83.8
SN18270;Vestli;10.91850;59.96830;14.5;;;76.5;86.0;89.0
SN18390;Bjølsen;10.74830;59.94180;;;;83.9;96.0;87.4
SN18405;Sandaker;10.77270;59.93980;;;;70.0;91.0;76.9
SN18420;Disen;10.79030;59.94600;;;;79.3;109.0;72.8
SN18440;Kjelsås;10.77564;59.95995;;;;61.5;93.0;66.1
SN18450;Maridalsoset;10.78936;59.97187;;;;74.6;100.0;74.6
SN18500;Bjørnholt;10.68787;60.05142;13.6;13.9;-0.3;86.4;133.0;65.0
SN18645;Solli plass;10.72020;59.91420;;;;66.4;92.0;72.2
SN18700;Oslo (Blindern);10.72000;59.94230;16.2;16.5;-0.3;73.4;103.0;71.3
SN18701;Blindern PLU;10.72020;59.94230;;;;71.4;106.0;67.4
SN18703;Blindern test;10.71940;59.94256;;;;70.7;96.0;73.6
SN18920;Besserud;10.67100;59.95730;;;;60.6;123.0;49.3
SN18950;Tryvannshøgda;10.66923;59.98480;13.4;13.4;0.0;80.6;139.0;58.0
SN19455;Kommunegården;10.52430;59.88920;;;;53.9;107.0;50.4
SN19458;Nadderud;10.58780;59.92480;;;;54.0;115.0;47.0
SN19490;Gjettum PLU;10.51220;59.90580;;;;64.5;116.0;55.6
SN1950;Ørje;11.65268;59.48199;15.8;;;72.0;99.0;72.7
SN19530;Aurevann;10.46010;59.99670;;;;63.9;121.0;52.8
SN19710;Asker - Sem;10.43580;59.85580;15.5;15.6;-0.1;59.6;114.0;52.3
SN19930;Glitre;10.05630;59.86835;;;;80.2;108.0;74.3
SN19940;Lier;10.25980;59.79080;15.9;15.7;0.2;62.4;;
SN20280;Hverven;10.26617;60.14033;15.8;15.9;-0.1;57.0;95.0;60.0
SN20301;Hønefoss;10.24780;60.16650;16.0;15.9;0.1;59.0;85.0;69.4
SN20520;Lunner;10.57516;60.29517;14.1;;;70.5;87.0;81.0
SN20540;Gran;10.55920;60.35580;14.3;14.7;-0.4;81.6;95.0;85.9
SN21680;Vest-Torpa;10.03580;60.93450;12.1;12.5;-0.4;92.7;110.0;84.3
SN22730;Hedal i Valdres;9.72380;60.61970;;;;71.2;110.0;64.7
SN22840;Reinli;9.49050;60.83460;;;;80.7;99.0;81.5
SN23410;Fagernes LH;9.30141;61.00279;10.7;11.0;-0.3;;;
SN23420;Fagernes;9.22400;60.97850;13.6;13.8;-0.2;63.8;92.0;69.3
SN23500;Løken i Volbu;9.06300;61.12200;12.3;12.8;-0.5;88.1;86.0;102.4
SN23550;Beitostølen;8.92257;61.25094;9.8;10.3;-0.5;74.6;111.0;67.2
SN23560;Beito;8.85570;61.24330;;;;69.7;110.0;63.4
SN23720;Vang i Valdres;8.56900;61.12400;;;;74.7;89.0;83.9
SN24600;Krødsherad;9.59606;60.13710;;;;70.8;116.0;61.0
SN24710;Gulsvik;9.60500;60.38300;15.5;15.3;0.2;55.7;103.0;54.1
SN24890;Nesbyen;9.13233;60.56692;13.8;14.2;-0.4;58.6;72.0;81.4
SN24960;Gol − Stake;8.94780;60.71880;;;;68.6;78.0;87.9
SN25100;Hemsedal;8.52850;60.87030;;;;73.9;110.0;67.2
SN25110;Hemsedal;8.59294;60.85486;11.5;11.7;-0.2;;;
