stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN13160;Kvitfjell;10.12662;61.46474;6.5;5.6;0.9;;;
SN13420;Venabu;10.10820;61.65130;6.5;5.7;0.8;59.4;64.0;92.8
SN13655;Skåbu;9.40209;61.53098;6.7;6.0;0.7;37.1;47.0;78.9
SN1400;Brekke sluse;11.55830;59.14770;;;;94.3;88.0;107.2
SN14200;Leirflaten;9.15424;61.72459;7.1;7.0;0.1;41.0;;
SN14550;Preststulen;9.00840;61.92250;;;;54.6;39.0;140.0
SN14711;Grov;9.01104;61.81301;;;;39.3;39.0;100.8
SN15262;Juvflye;8.36850;61.67400;1.9;1.2;0.7;;;
SN15270;Juvvasshøe;8.36900;61.67750;1.4;0.9;0.5;;;
SN15430;Bøverdal;8.24230;61.71950;7.3;7.1;0.2;84.5;48.0;176.0
SN15480;Skjåk (Øygarden);8.46720;61.87770;;;;34.6;26.0;133.1
SN15660;Skjåk (Austin);8.17060;61.90130;;;;52.7;30.0;175.7
SN15890;Grotli;7.66374;62.01647;6.2;6.3;-0.1;87.0;69.0;126.1
SN16040;Otta;9.54130;61.77820;10.0;9.5;0.5;32.4;;
SN16271;Høvringen;9.47980;61.88830;6.6;6.0;0.6;59.7;45.0;132.7
SN16400;Lannem;9.21430;62.01720;8.6;8.5;0.1;47.2;27.0;174.8
SN1650;Strømsfoss;11.65990;59.30060;;;;73.8;82.0;90.0
SN16560;Dombås;9.11470;62.07165;8.1;8.0;0.1;37.4;30.0;124.7
SN16610;Fokstugu;9.28620;62.11330;6.3;6.0;0.3;54.0;38.0;142.1
SN17000;Strømtangen;10.82830;59.15155;14.9;13.6;1.3;60.9;81.0;75.2
SN17050;Tomb;10.81450;59.31880;13.0;12.0;1.0;;;
SN17150;Rygge;10.79800;59.37420;13.7;12.3;1.4;67.0;88.0;76.1
SN17251;Moss;10.68360;59.44254;;;;55.8;90.0;62.0
SN17280;Gullholmen;10.57800;59.43520;14.6;13.2;1.4;;;
SN17380;Huggenes;10.75430;59.39800;13.3;12.1;1.2;67.6;75.0;90.1
SN17775;Fagerstrand ;10.58860;59.73770;;;;47.9;82.0;58.4
SN17780;Blekslitjern;10.63080;59.80950;;;;41.0;68.0;60.3
SN17810;Tangenåsen;10.66220;59.85530;;;;48.1;74.0;65.0
SN17850;Ås;10.78180;59.66050;12.9;11.5;1.4;53.0;90.0;58.9
SN17870;Rustadskogen;10.81040;59.67040;12.5;11.1;1.4;55.3;87.0;63.6
SN180;Trysil Mosanden;12.27583;61.29557;9.6;8.4;1.2;71.3;86.0;82.9
SN18020;Lambertseter;10.81850;59.87750;;;;43.8;90.0;48.7
SN18180;Trasop;10.84700;59.90700;;;;44.9;76.0;59.1
SN18195;Høyenhall;10.82120;59.90330;;;;46.5;77.0;60.4
SN18205;Løren ;10.79020;59.92870;;;;54.6;79.0;69.1
SN18210;Hovin;10.80400;59.92300;13.6;12.7;0.9;47.9;89.0;53.8
SN18215;Brobekk;10.83150;59.93230;;;;52.4;77.0;68.1
SN18233;Nyland;10.86400;59.94520;;;;55.6;79.0;70.4
SN18235;Furuset ;10.89720;59.94200;;;;45.9;77.0;59.6
SN18245;Ammerud;10.87370;59.96520;;;;59.4;76.0;78.2
SN18270;Vestli;10.91850;59.96830;11.8;;;56.5;89.0;63.5
SN18390;Bjølsen;10.74830;59.94180;;;;58.5;85.0;68.8
SN18405;Sandaker;10.77270;59.93980;;;;56.6;80.0;70.8
SN18420;Disen;10.79030;59.94600;;;;61.7;101.0;61.1
SN18440;Kjelsås;10.77564;59.95995;;;;67.9;85.0;79.9
SN18450;Maridalsoset;10.78936;59.97187;;;;62.8;90.0;69.8
